Open,High,Low,Close,Volume,TradingDate
22580.0,22857.0,22382.0,22580.0,1966600,2021-01-04
22382.0,22541.0,22343.0,22382.0,1310800,2021-01-05
22382.0,22382.0,22145.0,22264.0,1150000,2021-01-06
22541.0,22897.0,22264.0,22620.0,1668700,2021-01-07
22778.0,23252.0,22778.0,23094.0,2478600,2021-01-08
24597.0,24676.0,24202.0,24676.0,2407600,2021-01-11
25625.0,25625.0,25269.0,25309.0,2311500,2021-01-12
25309.0,25309.0,24597.0,24597.0,2170500,2021-01-13
24637.0,24676.0,24083.0,24360.0,1864700,2021-01-14
24439.0,24834.0,24360.0,24399.0,1423200,2021-01-15
24399.0,24439.0,24202.0,24241.0,1523800,2021-01-18
24162.0,24162.0,22580.0,22620.0,1713800,2021-01-19
22620.0,23094.0,21394.0,22699.0,1204200,2021-01-20
22936.0,23332.0,22936.0,23292.0,1008300,2021-01-21
23332.0,23490.0,22936.0,23094.0,1001700,2021-01-22
22936.0,23332.0,22936.0,23015.0,651900,2021-01-25
23015.0,23094.0,21987.0,22224.0,905900,2021-01-26
22145.0,22145.0,21394.0,21552.0,1005700,2021-01-27
20089.0,20405.0,20049.0,20049.0,1638500,2021-01-28
18744.0,21433.0,18744.0,20445.0,1063900,2021-01-29
20484.0,20563.0,19852.0,19852.0,748100,2021-02-01
19931.0,20010.0,19377.0,20010.0,570500,2021-02-02
20128.0,20761.0,20128.0,20682.0,530100,2021-02-03
20563.0,21038.0,20563.0,20642.0,529900,2021-02-04
20722.0,21038.0,20722.0,20959.0,433300,2021-02-05
20959.0,20959.0,19535.0,20207.0,820100,2021-02-08
20207.0,20840.0,20168.0,20840.0,446800,2021-02-09
20880.0,21552.0,20880.0,21552.0,680200,2021-02-17
21592.0,21592.0,21315.0,21552.0,837900,2021-02-18
21354.0,21512.0,21077.0,21275.0,1482400,2021-02-19
21631.0,21829.0,21433.0,21750.0,1278800,2021-02-22
21750.0,22778.0,21750.0,22620.0,1423300,2021-02-23
22936.0,23173.0,22382.0,22778.0,1925300,2021-02-24
23173.0,23332.0,22778.0,22936.0,1601700,2021-02-25
22659.0,23925.0,22462.0,23687.0,2176900,2021-02-26
23964.0,24874.0,23885.0,24834.0,2520200,2021-03-01
25388.0,25388.0,24122.0,24755.0,2010900,2021-03-02
24518.0,24518.0,24122.0,24439.0,1388500,2021-03-03
24439.0,24439.0,23569.0,23648.0,1615200,2021-03-04
23529.0,24360.0,23094.0,24241.0,1307800,2021-03-05
24834.0,24834.0,23925.0,24083.0,1311600,2021-03-08
23727.0,24043.0,23569.0,23846.0,920400,2021-03-09
23687.0,24360.0,23648.0,24360.0,1190200,2021-03-10
24518.0,24676.0,24202.0,24281.0,1396000,2021-03-11
24360.0,24360.0,24083.0,24083.0,693100,2021-03-12
24083.0,24162.0,23806.0,23885.0,1081900,2021-03-15
23885.0,24439.0,23727.0,23964.0,1295600,2021-03-16
23964.0,24518.0,23964.0,24360.0,1251700,2021-03-17
24676.0,25704.0,24597.0,25625.0,3907200,2021-03-18
25625.0,26891.0,25388.0,26535.0,3332500,2021-03-19
26535.0,26772.0,26218.0,26495.0,1803600,2021-03-22
26100.0,26377.0,25704.0,25783.0,2279800,2021-03-23
25309.0,25625.0,24913.0,24913.0,2220800,2021-03-24
25151.0,26179.0,24913.0,25586.0,1543100,2021-03-25
25309.0,25586.0,24834.0,25309.0,1505700,2021-03-26
26100.0,26100.0,25704.0,25942.0,1075200,2021-03-29
25981.0,26021.0,25625.0,25783.0,997400,2021-03-30
25665.0,26179.0,25546.0,25823.0,1253300,2021-03-31
26179.0,26772.0,26100.0,26732.0,2190000,2021-04-01
26891.0,27049.0,26495.0,26535.0,1254000,2021-04-02
