Open,High,Low,Close,Volume,TradingDate
41435.0,41852.0,41226.0,41852.0,2151300,2021-01-04
41713.0,44146.0,41574.0,43590.0,2332200,2021-01-05
43868.0,44216.0,43312.0,43381.0,1796000,2021-01-06
43520.0,43729.0,43034.0,43451.0,2150200,2021-01-07
43799.0,44285.0,43520.0,44007.0,2720400,2021-01-08
44424.0,44980.0,44007.0,44980.0,1972800,2021-01-11
45189.0,45884.0,44494.0,45745.0,2435200,2021-01-12
45815.0,46857.0,45815.0,46232.0,2612000,2021-01-13
46232.0,46579.0,45676.0,46162.0,1777500,2021-01-14
46579.0,46579.0,46162.0,46301.0,1540400,2021-01-15
46579.0,46579.0,46023.0,46093.0,1209000,2021-01-18
45884.0,45954.0,42895.0,43103.0,3505600,2021-01-19
43590.0,44285.0,41852.0,44007.0,3663800,2021-01-20
44841.0,45745.0,44007.0,45606.0,2313100,2021-01-21
45676.0,46927.0,45467.0,46510.0,2090300,2021-01-22
46440.0,47414.0,46023.0,46579.0,3111900,2021-01-25
46927.0,46927.0,45537.0,45884.0,2597500,2021-01-26
45676.0,45954.0,43729.0,43799.0,2226800,2021-01-27
41713.0,43312.0,40740.0,40740.0,5092400,2021-01-28
41018.0,43590.0,41018.0,43590.0,3211900,2021-01-29
44772.0,45467.0,43312.0,44146.0,2017400,2021-02-01
43868.0,45884.0,43799.0,45884.0,3264600,2021-02-02
46927.0,49082.0,45954.0,48665.0,4173500,2021-02-03
48874.0,50890.0,48804.0,50403.0,4398700,2021-02-04
50751.0,51029.0,49916.0,50681.0,2084900,2021-02-05
50612.0,50681.0,48387.0,49569.0,4035600,2021-02-08
49638.0,51863.0,48665.0,51863.0,4224300,2021-02-09
52975.0,54922.0,52767.0,54157.0,3139100,2021-02-17
54157.0,54435.0,53253.0,54366.0,2243100,2021-02-18
53810.0,54227.0,52836.0,53253.0,3722700,2021-02-19
53253.0,53879.0,52906.0,53393.0,2319300,2021-02-22
53045.0,53532.0,51863.0,52489.0,3369500,2021-02-23
52836.0,53184.0,52072.0,52419.0,2225200,2021-02-24
52906.0,53045.0,51794.0,52975.0,1927500,2021-02-25
52141.0,53114.0,52072.0,52975.0,1936000,2021-02-26
53462.0,54227.0,53393.0,54157.0,2078100,2021-03-01
54852.0,54852.0,53462.0,54157.0,1821700,2021-03-02
54227.0,54296.0,53810.0,54018.0,1599400,2021-03-03
54018.0,54088.0,52211.0,52767.0,2901500,2021-03-04
52558.0,52836.0,51794.0,52767.0,2507500,2021-03-05
52836.0,53184.0,52419.0,52697.0,1656600,2021-03-08
52141.0,52628.0,51794.0,52141.0,2182400,2021-03-09
52767.0,53879.0,52141.0,53045.0,2602400,2021-03-10
53184.0,53601.0,52906.0,53323.0,1477800,2021-03-11
53532.0,53601.0,53045.0,53184.0,2062800,2021-03-12
53253.0,53879.0,52906.0,53184.0,1760900,2021-03-15
53532.0,56660.0,53253.0,56312.0,5111000,2021-03-16
56660.0,56660.0,55617.0,56173.0,1603200,2021-03-17
56312.0,56312.0,55617.0,56312.0,1807500,2021-03-18
55617.0,55965.0,55200.0,55478.0,2247800,2021-03-19
55270.0,55339.0,54435.0,54713.0,2084800,2021-03-22
54574.0,55617.0,54435.0,54783.0,2201700,2021-03-23
54157.0,54852.0,53184.0,53532.0,2480100,2021-03-24
53879.0,53879.0,53184.0,53253.0,2305400,2021-03-25
53114.0,53393.0,51794.0,52906.0,2672600,2021-03-26
53184.0,54296.0,52906.0,53949.0,1997700,2021-03-29
54088.0,54227.0,53532.0,53601.0,1512500,2021-03-30
53601.0,54296.0,53253.0,54018.0,1373400,2021-03-31
54157.0,55409.0,54157.0,55409.0,2500900,2021-04-01
