Open,High,Low,Close,Volume,TradingDate
96357.0,96890.0,94668.0,96001.0,991100,2021-01-04
95290.0,97690.0,95290.0,97512.0,1192200,2021-01-05
97779.0,98223.0,96801.0,97957.0,1283000,2021-01-06
98135.0,98668.0,96890.0,97868.0,862300,2021-01-07
97868.0,100179.0,97868.0,99379.0,1348700,2021-01-08
100357.0,101868.0,100268.0,101157.0,1536700,2021-01-11
103112.0,103112.0,101068.0,101690.0,981100,2021-01-12
101690.0,101868.0,98757.0,98757.0,1237900,2021-01-13
99112.0,99823.0,97779.0,98135.0,1439100,2021-01-14
99023.0,99735.0,97601.0,98846.0,1238000,2021-01-15
99557.0,99646.0,97868.0,98046.0,826900,2021-01-18
98046.0,98046.0,91201.0,91290.0,1367600,2021-01-19
91557.0,93335.0,91112.0,91823.0,1875500,2021-01-20
93335.0,93512.0,91557.0,93423.0,1564600,2021-01-21
93690.0,94668.0,93335.0,93335.0,1094200,2021-01-22
93335.0,94046.0,92534.0,93157.0,827300,2021-01-25
93157.0,93335.0,88534.0,90223.0,1028600,2021-01-26
90223.0,91557.0,88446.0,88890.0,1488900,2021-01-27
83823.0,85334.0,82668.0,82668.0,1742900,2021-01-28
82223.0,88446.0,82223.0,88357.0,1692900,2021-01-29
88357.0,91557.0,87823.0,88001.0,1340000,2021-02-01
88268.0,94135.0,88001.0,94135.0,1771200,2021-02-02
93423.0,96001.0,93335.0,95557.0,1698900,2021-02-03
95468.0,95557.0,90668.0,93335.0,1022400,2021-02-04
93335.0,95557.0,93335.0,95557.0,922900,2021-02-05
95557.0,95823.0,89779.0,89779.0,3422500,2021-02-08
92446.0,94668.0,90223.0,94401.0,1758000,2021-02-09
94490.0,96001.0,94401.0,96001.0,1253600,2021-02-17
95557.0,97779.0,94312.0,97779.0,1434400,2021-02-18
95646.0,97335.0,95112.0,96890.0,1433200,2021-02-19
97068.0,98401.0,94223.0,97512.0,1481000,2021-02-22
96268.0,99290.0,95557.0,97779.0,1393900,2021-02-23
99023.0,99023.0,94223.0,96179.0,950100,2021-02-24
97335.0,97690.0,94312.0,96801.0,1013500,2021-02-25
94401.0,97690.0,94401.0,96890.0,926800,2021-02-26
96890.0,97690.0,95735.0,96446.0,777700,2021-03-01
96446.0,96979.0,94401.0,96179.0,926300,2021-03-02
94668.0,96179.0,94668.0,95023.0,1075300,2021-03-03
95646.0,95912.0,94757.0,95023.0,1671400,2021-03-04
95023.0,95557.0,94046.0,94490.0,1294800,2021-03-05
94668.0,95112.0,93335.0,94223.0,1390100,2021-03-08
93335.0,94490.0,88890.0,92712.0,1587600,2021-03-09
92890.0,94223.0,90757.0,94223.0,576300,2021-03-10
